episode,timestep,reward
18,500,19.8285
44,1000,14.0519
66,1500,19.7698
87,2000,21.8786
110,2500,20.8297
130,3000,20.0026
150,3500,20.2609
176,4000,14.7927
199,4500,19.9647
214,5000,31.7289
221,5500,151.7688
225,6000,217.4988
229,6500,224.2565
234,7000,203.6764
240,7500,177.6745
246,8000,160.8975
251,8500,201.3296
256,9000,194.2973
261,9500,223.9763
266,10000,226.9532
271,10500,214.9229
276,11000,214.2397
281,11500,193.7918
285,12000,245.7736
289,12500,246.0438
293,13000,242.5698
297,13500,247.3174
301,14000,254.5983
305,14500,265.2921
309,15000,279.4875
313,15500,277.0445
318,16000,249.0524
322,16500,263.4761
326,17000,274.905
329,17500,302.9017
333,18000,280.091
337,18500,257.8144
341,19000,263.5855
343,19500,278.0813
357,20000,42.8579
367,20500,18.1521
369,21500,622.969
371,22000,392.5506
374,22500,344.3776
377,23000,334.5103
378,23500,452.0791
380,24000,394.2439
381,24500,456.3871
383,25000,504.3972
385,25500,451.0656
387,26000,361.2137
390,26500,397.6251
392,27000,362.3607
393,27500,427.9406
395,28500,780.1963
396,29000,282.6787
399,29500,438.8002
404,30000,236.6242
408,30500,288.2149
412,31000,262.1513
417,31500,185.6579
419,32000,347.2855
428,32500,147.56
432,33000,173.6338
435,33500,318.9913
437,34000,414.6384
439,34500,279.4608
442,35000,344.9955
444,35500,298.4954
447,36500,550.4061
450,37000,328.2648
451,37500,344.9903
452,38500,1045.2186
454,39500,681.0227
455,40500,1099.9623
456,41000,742.8541
457,42000,952.1687
458,42500,1082.7363
461,43000,516.8303
463,43500,579.9699
465,44000,458.134
468,44500,410.1568
471,45000,446.0537
474,45500,465.786
477,46000,433.6031
479,46500,435.2843
482,47000,448.4092
484,47500,560.6202
486,48000,545.0519
488,48500,500.6179
490,49000,557.7038
493,49500,325.9535
494,50000,863.788
496,50500,789.1023
497,51000,750.3751
498,51500,724.1515
500,52000,662.1592
501,52500,659.4309
502,53500,1328.6293
503,54500,1530.1566
505,55000,795.4674
508,55500,465.653
511,56000,456.8803
514,56500,443.6775
519,57000,321.4952
522,57500,371.3078
524,58000,657.391
525,58500,581.1609
527,59000,895.1628
528,59500,816.5082
530,60000,866.066
532,60500,649.6737
534,61000,585.6042
536,61500,676.8834
538,62000,676.1039
540,62500,829.3547
541,63000,915.0939
542,63500,990.3011
544,64000,834.2874
545,64500,1335.8816
547,65000,643.1612
549,65500,493.7814
551,66000,748.6461
552,66500,823.6765
553,67000,1322.3679
555,67500,879.8067
556,68000,1083.3198
558,68500,733.3627
559,69000,967.9834
561,69500,797.2022
562,70000,633.1657
564,70500,920.8203
567,71000,413.5157
569,71500,564.4066
571,72000,702.3998
574,72500,497.6362
576,73000,641.8714
578,73500,493.9106
580,74000,532.1438
582,74500,697.6572
584,75000,613.2169
586,75500,635.3918
588,76000,641.7584
590,76500,846.8448
592,77000,688.0978
594,77500,654.2626
597,78000,591.1777
599,78500,700.436
601,79000,652.6832
603,79500,723.2865
605,80000,653.1778
607,80500,654.013
609,81000,532.2165
612,81500,633.8875
614,82000,572.477
616,82500,680.5683
617,83000,1121.3921
619,83500,795.1406
621,84000,609.9865
622,84500,1090.3547
623,85000,1007.0492
625,85500,924.7907
626,86000,621.7445
628,86500,972.4758
629,87000,650.4197
631,87500,962.05
633,88000,746.8593
634,88500,843.5745
635,89000,760.5268
637,89500,996.0153
638,90000,1226.3963
640,90500,570.6787
642,91000,847.4431
643,91500,1055.9235
644,92000,1501.4571
645,92500,1000.0372
646,93000,1024.7829
647,93500,1088.3947
649,94000,1101.835
650,94500,935.7728
651,95000,744.7546
653,95500,883.3404
655,96000,916.2515
657,96500,647.0587
658,97000,755.9288
660,97500,984.7736
661,98000,945.115
663,98500,846.7337
664,99000,660.2609
665,99500,783.3519
666,100000,1347.8815
668,100500,1161.4696
670,101000,724.9538
671,101500,645.5973
673,102000,865.08
674,102500,916.3628
675,103000,949.3915
677,103500,927.0025
679,104000,695.7243
680,104500,1289.9551
682,105000,834.6582
684,105500,766.8424
685,106000,850.5362
687,106500,871.0143
689,107000,686.9817
691,107500,828.9598
692,108000,932.4635
694,108500,726.0914
695,109000,919.4825
696,109500,1592.9689
698,110000,1006.4328
699,110500,1148.5103
700,111000,856.137
702,111500,1105.167
703,112000,967.1757
705,112500,877.6442
706,113000,1081.2085
708,113500,767.5922
710,114000,861.7515
711,114500,1001.2756
713,115000,744.2809
715,115500,874.1736
716,116000,1144.8218
718,116500,842.196
719,117000,1317.8928
720,118000,1957.0575
722,118500,927.497
724,119000,862.7812
726,119500,864.8428
727,120000,1078.6854
729,120500,928.1562
730,121000,1396.5043
731,121500,493.2352
732,122000,922.5534
733,122500,1870.0979
734,123000,2066.8801
735,124000,1702.1021
737,124500,945.7386
738,125000,1461.7518
739,126000,2386.4654
740,126500,1355.8455
741,127000,1182.5791
742,127500,2088.3817
743,128000,1575.6716
745,128500,1055.7037
746,129500,1675.0085
747,130500,2782.3287
748,131000,1937.4738
749,131500,1991.529
750,132500,2684.3855
751,133000,1534.4968
752,134000,1788.5199
754,135000,1866.8546
755,135500,300.0208
757,136000,1207.1577
758,137000,1798.6947
759,137500,2150.9964
761,138000,702.498
762,138500,1000.8825
764,139000,1124.2711
765,139500,1037.1248
767,140000,929.1717
769,140500,898.907
770,141000,1000.3101
772,141500,953.9824
773,142000,918.211
774,142500,1215.0804
776,143000,1086.3767
777,143500,983.9091
779,144000,1081.158
780,144500,1012.232
782,145000,879.1421
783,145500,1111.2275
785,146000,1081.6203
786,146500,1067.9821
788,147000,760.0511
790,147500,832.3472
791,148000,927.7125
793,149000,1259.4094
794,150000,2644.6525
795,151000,2549.5719
796,151500,2578.6586
797,152500,2046.9659
798,153500,2678.1372
799,154500,2544.9974
801,155000,873.792
802,155500,943.0469
803,156000,2175.5072
804,157000,2481.0335
805,158000,2619.3932
806,159000,1740.8348
807,160000,2477.823
808,160500,1538.0217
809,161500,2361.1097
810,162500,2439.1867
811,163500,2370.1843
812,164000,1229.4309
814,165000,1754.6071
815,166000,2360.0202
817,167000,1449.8152
819,168000,1182.0112
822,168500,431.4834
823,169500,2421.3513
824,170500,2390.7807
825,171500,2625.1979
826,172500,2335.3516
827,173000,1435.9854
828,174000,1959.2748
829,175000,2507.9949
831,175500,1218.5175
832,176000,1453.3095
833,177000,2226.7991
834,177500,1192.0944
835,178000,1986.8638
836,178500,1094.4375
837,179000,1066.5105
838,179500,1527.3536
839,180000,1778.467
840,180500,1095.1012
842,181000,1255.0449
843,181500,1088.0499
844,182000,1440.8851
845,182500,1673.1124
846,183000,1917.9002
847,183500,975.233
848,184000,1224.1662
850,184500,1152.7524
851,185000,1045.552
852,185500,1852.6149
853,186000,1404.4958
854,186500,1406.1202
855,187000,1218.7822
857,187500,1112.9287
859,188000,674.9793
860,188500,1046.9898
861,189000,1191.4056
863,189500,1130.3704
864,190000,985.7554
865,190500,1246.754
867,191000,1112.3128
868,191500,1057.1818
870,192000,1083.325
871,192500,875.5427
872,193000,964.7052
874,193500,1089.6557
876,194000,797.6904
877,194500,948.6495
879,195000,998.3497
880,195500,1202.7353
882,196000,894.5127
883,196500,954.5906
884,197000,1700.0962
885,197500,1409.0478
887,198000,1015.5647
888,198500,1294.0715
889,199000,1276.9143
890,199500,890.9955
892,200000,1194.4062
893,200500,1046.9384
895,201000,1004.94
896,201500,1006.6364
897,202000,1098.4333
899,202500,1237.019
900,203000,1334.6606
901,203500,996.7714
903,204000,1068.6186
905,205000,1420.3217
906,205500,1026.6502
907,206000,1025.7205
909,206500,1337.5725
910,207000,957.6352
912,207500,1028.2433
913,208000,1013.3278
915,208500,939.4
916,209000,1031.4491
917,209500,1798.7124
918,210000,1059.5451
920,210500,1028.5571
922,211000,708.0507
923,211500,1821.2455
924,212000,1049.8814
925,212500,1590.3161
927,213000,901.88
928,213500,1056.3931
929,214000,1059.5585
930,214500,1044.0537
932,215000,1272.6001
934,216000,1482.4349
935,216500,1301.6407
936,217000,1404.0847
937,217500,1463.9975
938,218000,1470.2909
940,218500,954.1026
941,219000,1142.8848
942,219500,1768.8296
943,220000,1178.4463
944,220500,1173.1662
945,221000,1521.785
947,221500,1208.939
948,222000,1094.0327
949,222500,1139.137
951,223000,1326.845
952,223500,1080.3366
953,224000,880.2336
955,224500,1162.9772
956,225000,1162.3636
957,225500,2002.5192
958,226000,1097.4522
959,226500,1066.6949
960,227000,1433.5846
961,227500,1922.8702
962,228000,1548.4408
963,228500,1658.1261
964,229000,1614.125
965,229500,1100.0113
966,230000,1594.2276
968,231000,1706.6689
969,231500,1341.7901
970,232000,1533.7441
971,232500,1000.7574
972,233000,1047.7084
973,233500,1539.2969
974,234000,1583.3423
975,234500,1524.0542
977,235000,1125.7407
979,235500,865.4419
980,236000,896.5375
982,236500,1120.9836
983,237000,1556.4942
984,237500,938.4421
986,238000,1131.2234
987,238500,746.8651
988,239000,1140.0034
990,239500,1244.7053
991,240000,1091.8846
992,240500,1096.7093
994,241000,1119.8612
995,241500,1077.8109
996,242000,927.21
997,242500,1396.1377
999,243000,1205.4107
1000,243500,1529.8216
1001,244000,1648.6936
1002,244500,1571.7329
1003,245000,1248.8769
1004,245500,1631.3541
1005,246000,1458.1972
1006,246500,1514.1599
1007,247000,1145.516
1009,247500,1208.1898
1010,248000,960.8182
1011,248500,1094.6165
1012,249000,1539.3192
1014,249500,1249.0123
1015,250000,1491.0756
